Mkt Al,Orig,Dest,Date,Miles,Deps/Day,Seats/Day,Seats/Dep,Pax/Day,Pax/Dep,Load Factor,Lcl %,Local Pax/Day,Lcl Fare,Seg Fare,Sys Fare,Yield,SLA Yield,PRASM,SLA PRASM,% Free,% Lcl Free,Flights,Seats,ASMs,year,Alpha,g1_o,g2_o,log_o,state_o,g1_d,g2_d,log_d,state_d,orig_code,dest_code,al_code,orig_lat,orig_lon,dest_lat,dest_lon,if_hub,al_type,pand_year,num_comp,mkt_share,mkt_size,Date_delta,time_scaled,quarter_1,quarter_2,quarter_3,quarter_4
3E,ATL,MKL,Q1 2018,-0.9430081091722566,-1.0061996139924003,-0.8746179444292352,-2.0624956696454286,-0.8357852879458281,-1.7626642367286809,1.0060961512051212,1.4962055682129105,-0.7552665551380598,-0.1107997976601115,0.4369531810751009,-0.4617386310300927,1.8806450484274455,2.1917652513084915,3.16844270828272,3.068674536039308,-1.2233997167732245,-0.9886700378415596,-1.0416743110968432,-0.8883579999794143,-0.6611645846749071,2018,ATLMKL,-0.0701282371445434,0.65147966539382,0.0331089917961549,9.0,-0.2687093314891413,-0.1737528295975803,-1.3475705840235976,40.0,24,291,0,-0.6883610746067238,0.5540507789317398,-0.3218325291580762,0.2645575356757675,-1.1321531713972954,0.05,1,-0.7229798136364615,0.7769148142318199,-0.7957489640392368,4733.856,0.7368876080691642,True,False,False,False
3E,ATL,MKL,Q2 2018,-0.9430081091722566,-0.8023900323791762,-0.859128594647079,-2.0285181005427195,-0.820680928337486,-1.74464831587846,0.5176681076837267,1.4962055682129105,-0.7277587939192568,-0.1107997976601115,0.4369531810751009,-0.4617386310300927,1.8806450484274455,2.1917652513084915,2.761779732979104,2.5870144559044124,-1.2233997167732245,-0.9886700378415596,-0.817486861145234,-0.875638093134138,-0.6578476599446852,2018,ATLMKL,-0.0701282371445434,0.65147966539382,0.0331089917961549,9.0,-0.2687093314891413,-0.1737528295975803,-1.3475705840235976,40.0,24,291,0,-0.6883610746067238,0.5540507789317398,-0.3218325291580762,0.2645575356757675,-1.1321531713972954,0.05,1,-0.7229798136364615,0.7769148142318199,-0.7899871649762097,4811.616,0.7498559077809798,False,True,False,False
3E,ATL,MKL,Q3 2018,-0.9430081091722566,-0.7784124345423262,-0.8617524735719252,-2.0624956696454286,-0.820287171878453,-1.7532168635999066,1.351742980945791,1.4962055682129105,-0.7270034320551249,-0.1107997976601115,0.4369531810751009,-0.4617386310300927,1.8806450484274455,2.1917652513084915,3.443214988893272,3.405836592133735,-1.2233997167732245,-0.9886700378415596,-0.81317556403078,-0.8753934795409596,-0.6577838729306424,2018,ATLMKL,-0.0701282371445434,0.65147966539382,0.0331089917961549,9.0,-0.2687093314891413,-0.1737528295975803,-1.3475705840235976,40.0,24,291,0,-0.6883610746067238,0.5540507789317398,-0.3218325291580762,0.2645575356757675,-1.1321531713972954,0.05,1,-0.7229798136364615,0.7769148142318199,-0.7898763611480746,4890.24,0.7629682997118155,False,False,True,False
3E,ATL,MKL,Q4 2018,-0.9430081091722566,-0.7904012334607511,-0.8624860311208069,-2.0624956696454286,-0.8207361924019116,-1.750140974674259,1.4680353722604085,1.4962055682129105,-0.7278217407412677,-0.1107997976601115,0.4369531810751009,-0.4617386310300927,1.8806450484274455,2.1917652513084915,3.54213300991307,3.502168608160713,-1.2233997167732245,-0.9886700378415596,-0.81317556403078,-0.8753934795409596,-0.6577838729306424,2018,ATLMKL,-0.0701282371445434,0.65147966539382,0.0331089917961549,9.0,-0.2687093314891413,-0.1737528295975803,-1.3475705840235976,40.0,24,291,0,-0.6883610746067238,0.5540507789317398,-0.3218325291580762,0.2645575356757675,-1.1321531713972954,0.05,1,-0.7229798136364615,0.7769148142318199,-0.7898763611480746,4969.728,0.7762247838616715,False,False,False,True
3E,ATL,MKL,Q1 2019,-0.9430081091722566,-0.7784124345423262,-0.8623167486095265,-2.066620114449804,-0.8216618654810417,-1.762883943080513,1.1540459157109408,1.4962055682129105,-0.7295213049355646,-0.1107997976601115,0.4369531810751009,-0.4617386310300927,1.8806450484274455,2.1917652513084915,3.289342511751363,3.2131725600797765,-1.2233997167732245,-0.9886700378415596,-0.8217981582596879,-0.8758827067273164,-0.6579114469587279,2019,ATLMKL,-0.0701282371445434,0.65147966539382,0.0331089917961549,9.0,-0.2687093314891413,-0.1737528295975803,-1.3475705840235976,40.0,24,291,0,-0.6883610746067238,0.5540507789317398,-0.3218325291580762,0.2645575356757675,-1.1321531713972954,0.05,1,-0.7229798136364615,0.7769148142318199,-0.7900979688043448,5049.216,0.7894812680115274,True,False,False,False
3E,ATL,MKL,Q3 2019,-0.9430081091722566,-0.7784124345423262,-0.8617524735719252,-2.0624956696454286,-0.8207741864462043,-1.7569518715810502,1.2186527997746173,1.4962055682129105,-0.7279476343852898,-0.1107997976601115,0.4369531810751009,-0.4617386310300927,1.8806450484274455,2.1917652513084915,3.3442969678734733,3.261338568093266,-1.2233997167732245,-0.9886700378415596,-0.81317556403078,-0.8753934795409596,-0.6577838729306424,2019,ATLMKL,-0.0701282371445434,0.65147966539382,0.0331089917961549,9.0,-0.2687093314891413,-0.1737528295975803,-1.3475705840235976,40.0,24,291,0,-0.6883610746067238,0.5540507789317398,-0.3218325291580762,0.2645575356757675,-1.1321531713972954,0.05,1,-0.7229798136364615,0.7769148142318199,-0.7898763611480746,5205.6,0.8155619596541787,False,False,True,False
3E,ATL,MKL,Q4 2019,-0.9430081091722566,-1.0061996139924003,-0.8745050894217149,-2.0624956696454286,-0.83530518138613,-1.7547548080627302,1.2987653360135758,1.4962055682129105,-0.754385299629906,-0.1107997976601115,0.4369531810751009,-0.4617386310300927,1.8806450484274455,2.1917652513084915,3.399251423995584,3.3335875801135004,-1.2233997167732245,-0.9886700378415596,-0.81317556403078,-0.8753934795409596,-0.6577838729306424,2019,ATLMKL,-0.0701282371445434,0.65147966539382,0.0331089917961549,9.0,-0.2687093314891413,-0.1737528295975803,-1.3475705840235976,40.0,24,291,0,-0.6883610746067238,0.5540507789317398,-0.3218325291580762,0.2645575356757675,-1.1321531713972954,0.05,2,-0.7229798136364615,0.7769148142318199,-0.7898763611480746,5285.088,0.8288184438040345,False,False,False,True
3E,ATL,MKL,Q1 2020,-0.9430081091722566,-0.7943974997668929,-0.8625424586245671,-2.0624956696454286,-0.8261106226673085,-1.791226062466836,-0.0411814394670744,1.4962055682129105,-0.7376414449749823,-0.1107997976601115,0.4369531810751009,-0.4617386310300927,1.8806450484274455,2.1917652513084915,2.3111531927778,2.0571883677560274,-1.2233997167732245,-0.9886700378415596,-0.817486861145234,-0.875638093134138,-0.6578476599446852,2020,ATLMKL,-0.0701282371445434,0.65147966539382,0.0331089917961549,9.0,-0.2687093314891413,-0.1737528295975803,-1.3475705840235976,40.0,24,291,0,-0.6883610746067238,0.5540507789317398,-0.3218325291580762,0.2645575356757675,-1.1321531713972954,0.05,2,-0.7229798136364615,0.7769148142318199,-0.7899871649762097,5364.576,0.8420749279538905,True,False,False,False
3E,ATL,MKL,Q2 2020,-0.9430081091722566,-0.7864049671546095,-0.8622885348576464,-2.0624956696454286,-0.8365866168800004,-1.8727371189964948,-3.037002653499754,1.4962055682129105,-0.7567143320443126,-0.1107997976601115,0.4369531810751009,-0.4617386310300927,1.8806450484274455,2.1917652513084915,-0.1398155502683204,-0.8327721130533452,-1.2233997167732245,-0.9886700378415596,-0.817486861145234,-0.875638093134138,-0.6578476599446852,2020,ATLMKL,-0.0701282371445434,0.65147966539382,0.0331089917961549,9.0,-0.2687093314891413,-0.1737528295975803,-1.3475705840235976,40.0,24,291,0,-0.6883610746067238,0.5540507789317398,-0.3218325291580762,0.2645575356757675,-1.1321531713972954,0.05,2,-0.7229798136364615,0.7769148142318199,-0.7899871649762097,5443.2,0.8551873198847262,False,True,False,False
3E,ATL,MKL,Q3 2020,-0.9430081091722566,-0.7824087008484678,-0.8620063973388459,-2.0624956696454286,-0.8310256703971668,-1.8316520312039173,-1.530370117134818,1.4962055682129105,-0.7465798937005431,-0.1107997976601115,0.4369531810751009,-0.4617386310300927,1.8806450484274455,2.1917652513084915,1.0911642668669508,0.612208127351341,-1.2233997167732245,-0.9886700378415596,-0.81317556403078,-0.8753934795409596,-0.6577838729306424,2020,ATLMKL,-0.0701282371445434,0.65147966539382,0.0331089917961549,9.0,-0.2687093314891413,-0.1737528295975803,-1.3475705840235976,40.0,24,291,0,-0.6883610746067238,0.5540507789317398,-0.3218325291580762,0.2645575356757675,-1.1321531713972954,0.05,2,-0.7229798136364615,0.7769148142318199,-0.7898763611480746,5521.824,0.8682997118155619,False,False,True,False
3E,ATL,MKL,Q4 2020,-0.9430081091722566,-0.7824087008484678,-0.8620063973388459,-2.0624956696454286,-0.8313987028320402,-1.834508213777733,-1.6337411316367,1.4962055682129105,-0.7472723087426639,-0.1107997976601115,0.4369531810751009,-0.4617386310300927,1.8806450484274455,2.1917652513084915,1.003237137071574,0.5158761113243623,-1.2233997167732245,-0.9886700378415596,-0.7873077813440558,-0.8739257979818893,-0.6574011508463861,2020,ATLMKL,-0.0701282371445434,0.65147966539382,0.0331089917961549,9.0,-0.2687093314891413,-0.1737528295975803,-1.3475705840235976,40.0,24,291,0,-0.6883610746067238,0.5540507789317398,-0.3218325291580762,0.2645575356757675,-1.1321531713972954,0.05,2,-0.7229798136364615,0.7769148142318199,-0.7892115381792638,5601.312,0.8815561959654178,False,False,False,True
3E,ATL,MKL,Q1 2021,-0.9430081091722566,-0.8303638965221677,-0.8645738487599317,-2.0624956696454286,-0.8345176684680642,-1.847910301239483,-2.1286298635644623,1.4962055682129105,-0.7529375227236532,-0.1107997976601115,0.4369531810751009,-0.4617386310300927,1.8806450484274455,2.1917652513084915,0.5965741617679579,0.0342160311894667,-1.2233997167732245,-0.9886700378415596,-0.8217981582596879,-0.8758827067273164,-0.6579114469587279,2021,ATLMKL,-0.0701282371445434,0.65147966539382,0.0331089917961549,9.0,-0.2687093314891413,-0.1737528295975803,-1.3475705840235976,40.0,24,291,0,-0.6883610746067238,0.5540507789317398,-0.3218325291580762,0.2645575356757675,-1.1321531713972954,0.05,2,-0.7229798136364615,0.7769148142318199,-0.7900979688043448,5680.8,0.8948126801152737,True,False,False,False
3E,ATL,MKL,Q2 2021,-0.9430081091722566,-0.8943041574204342,-0.8682416365043404,-2.0624956696454286,-0.8353708074626355,-1.8364855709442207,-1.7112693925131122,1.4962055682129105,-0.754511193273928,-0.1107997976601115,0.4369531810751009,-0.4617386310300927,1.8806450484274455,2.1917652513084915,0.9372917897250416,0.4436270993041277,-1.2233997167732245,-0.9886700378415596,-0.9080241005487684,-0.8807749785908842,-0.6591871872395826,2021,ATLMKL,-0.0701282371445434,0.65147966539382,0.0331089917961549,9.0,-0.2687093314891413,-0.1737528295975803,-1.3475705840235976,40.0,24,291,0,-0.6883610746067238,0.5540507789317398,-0.3218325291580762,0.2645575356757675,-1.1321531713972954,0.05,2,0.3133820937650282,-0.7185130177806426,-0.7866630501321557,5758.56,0.9077809798270894,False,True,False,False
